age,sex,race,region,educ,exper,earnings,weeks,hours
54,2,1,1,14,34,32000,52,38
40,2,1,1,16,18,1000,8,40
52,1,1,1,9,34,3000,25,20
45,1,1,1,12,27,35000,52,40
43,1,1,1,10,25,13000,52,40
25,1,1,1,14,5,32247,52,40
51,1,1,3,12,33,69000,52,40
42,2,1,1,12,24,50000,52,50
29,1,1,1,12,11,50000,52,50
32,1,2,3,12,14,700,5,40
47,2,1,1,12,29,25000,52,52
39,2,1,3,14,19,800,10,10
45,2,1,2,12,27,55000,52,40
53,1,5,1,18,29,14000,52,35
26,1,1,2,11,8,11000,52,40
47,2,1,1,12,29,22000,52,38
48,1,2,3,14,28,62000,52,40
49,2,1,3,14,29,20000,52,40
47,1,1,3,12,29,45000,52,40
41,1,1,1,12,23,44950,52,40
32,2,1,3,14,12,25000,52,40
27,1,1,2,12,9,20800,52,75
49,2,2,3,12,31,15000,52,40
51,2,1,2,12,33,35000,52,40
52,1,1,2,18,28,70000,52,40
34,2,1,1,14,14,14000,52,20
25,1,2,3,12,7,20000,52,40
38,1,1,2,14,18,60000,52,40
47,2,1,2,14,27,18000,52,40
49,1,1,1,12,31,70000,44,40
51,1,1,2,16,29,85000,52,40
46,2,5,1,18,22,32000,36,40
53,2,1,1,18,29,60000,42,40
41,2,1,1,16,19,6500,12,40
33,2,1,1,12,15,8200,52,25
29,1,5,2,12,11,29000,52,40
27,1,2,2,12,9,10000,25,40
46,2,1,2,12,28,8000,26,50
29,2,1,1,16,7,41000,40,40
35,2,1,3,12,17,5000,52,10
37,1,4,3,16,15,9600,16,40
40,2,1,1,12,22,18000,52,36
35,1,1,3,12,17,35000,52,40
39,1,1,1,16,17,50000,52,45
25,2,2,3,16,3,24000,52,99
25,1,2,3,14,5,8000,52,20
51,1,1,1,12,33,6000,24,35
49,2,1,4,2.5,31,6000,24,24
29,1,1,1,12,11,36000,52,60
40,1,2,4,16,18,51000,52,40
33,2,1,3,18,9,35400,52,40
26,2,1,4,11,8,11000,52,52
51,1,1,1,16,29,112000,50,40
52,1,1,1,16,30,51500,52,40
26,2,1,3,14,6,32000,52,40
49,2,1,4,18,25,1920,52,4
48,1,1,4,11,30,23000,52,40
35,1,1,2,16,13,14000,52,35
35,2,1,1,16,13,6750,45,10
32,1,1,2,14,12,20540,52,40
35,1,1,2,16,13,40000,36,40
37,1,1,1,16,15,10000,17,40
38,2,1,1,12,20,55000,52,35
35,1,1,4,18,11,404469,50,40
54,1,1,2,16,32,45000,52,40
48,1,1,3,16,26,78000,52,50
34,1,1,2,14,14,4200,42,20
